zip,city,region,district
1108,Thai Nguyen,East,District #02
1109,Hanoi,East,District #02
1118,Viet Tri,East,District #02
1119,Nam Dinh,East,District #02
1128,Phu Ly,East,District #02
1129,Hai Phong,East,District #02
1151,Cam Pha,East,District #02
1201,Bac Ninh,East,District #01
1202,Nam Dinh,East,District #01
1220,Lao Cai,East,District #01
1222,Bac Ninh,East,District #01
1223,Ninh Binh,East,District #01
1224,Thai Nguyen,East,District #01
1225,Son Tay,East,District #01
1226,Lao Cai,East,District #01
1230,Ninh Binh,East,District #01
1235,Nam Dinh,East,District #01
1236,Hanoi,East,District #01
1237,Thai Nguyen,East,District #01
1238,Uong Bi,East,District #01
1240,Hai Phong,East,District #01
1242,Thai Nguyen,East,District #01
1243,Lao Cai,East,District #01
1244,Hai Phong,East,District #01
1247,Bac Ninh,East,District #01
1252,Hanoi,East,District #01
1253,Hanoi,East,District #01
1254,Ha Long,East,District #01
1255,Hai Phong,East,District #01
1256,Ninh Binh,East,District #01
1257,Hai Phong,East,District #01
1259,Viet Tri,East,District #01
1260,Uong Bi,East,District #01
1262,Viet Tri,East,District #01
1264,Lao Cai,East,District #01
1266,Hanoi,East,District #01
1267,Hai Phong,East,District #01
1270,Ninh Binh,East,District #01
1301,Phu Ly,East,District #02
1330,Phu Ly,East,District #02
1331,Hanoi,East,District #02
1337,Hai Phong,East,District #02
1339,Hanoi,East,District #01
1340,Ha Long,East,District #02
1341,Phu Ly,East,District #02
1342,Hai Phong,East,District #02
1343,Ha Long,East,District #01
1344,Ha Long,East,District #02
1346,Ha Long,East,District #01
1347,Son Tay,East,District #02
1349,Ha Long,East,District #02
1351,Lao Cai,East,District #02
1354,Thai Nguyen,East,District #02
1355,Ninh Binh,East,District #02
1360,Son Tay,East,District #02
1364,Hai Phong,East,District #02
1366,Thai Nguyen,East,District #02
1367,Hai Phong,East,District #01
1368,Uong Bi,East,District #02
1370,Lao Cai,East,District #02
1373,Ha Long,East,District #02
1375,Ha Long,East,District #02
1376,Bac Ninh,East,District #02
1378,Ha Long,East,District #02
1379,Nam Dinh,East,District #02
1420,Ninh Binh,East,District #02
1430,Ninh Binh,East,District #02
1431,Ha Long,East,District #02
1436,Viet Tri,East,District #02
1440,Son Tay,East,District #02
1450,Viet Tri,East,District #02
1451,Hanoi,East,District #02
1452,Hai Phong,East,District #02
1453,Uong Bi,East,District #02
1462,Lao Cai,East,District #02
1464,Bac Ninh,East,District #02
1468,Ha Long,East,District #02
1469,Bac Giang,East,District #02
1472,Hai Phong,East,District #02
1473,Lao Cai,East,District #02
1474,Lao Cai,East,District #02
1475,Bac Giang,East,District #02
1501,Cam Pha,East,District #02
1503,Ninh Binh,East,District #02
1504,Bac Giang,East,District #02
1505,Hanoi,East,District #02
1506,Hai Phong,East,District #02
1507,Ninh Binh,East,District #02
1508,Ninh Binh,East,District #02
1510,Hai Phong,East,District #02
1515,Ha Long,East,District #02
1516,Bac Ninh,East,District #02
1518,Bac Ninh,East,District #02
1519,Cam Pha,East,District #02
1520,Nam Dinh,East,District #02
1521,Hai Phong,East,District #02
1522,Bac Ninh,East,District #02
1523,Phu Ly,East,District #02
1524,Uong Bi,East,District #02
1525,Thai Nguyen,East,District #02
1526,Thai Nguyen,East,District #02
1527,Uong Bi,East,District #02
1529,Ha Long,East,District #02
1531,Ninh Binh,East,District #02
1532,Lao Cai,East,District #02
1534,Hanoi,East,District #02
1535,Son Tay,East,District #02
1536,Hanoi,East,District #02
1537,Bac Giang,East,District #02
1540,Thai Nguyen,East,District #02
1541,Ha Long,East,District #02
1542,Hanoi,East,District #02
1543,Phu Ly,East,District #02
1545,Hanoi,East,District #02
1550,Bac Ninh,East,District #02
1560,Son Tay,East,District #02
1561,Son Tay,East,District #02
1562,Ninh Binh,East,District #02
1564,Phu Ly,East,District #02
1566,Cam Pha,East,District #02
1568,Thai Nguyen,East,District #02
1569,Ha Long,East,District #02
1570,Son Tay,East,District #02
1571,Bac Ninh,East,District #02
1581,Hai Phong,East,District #02
1583,Uong Bi,East,District #02
1585,Bac Ninh,East,District #02
1588,Ha Long,East,District #02
1590,Hai Phong,East,District #02
1602,Bac Giang,East,District #02
1603,Bac Ninh,East,District #02
1604,Thai Nguyen,East,District #02
1605,Viet Tri,East,District #02
1606,Cam Pha,East,District #02
1607,Bac Ninh,East,District #02
1609,Lao Cai,East,District #02
1610,Ha Long,East,District #02
1611,Uong Bi,East,District #02
1612,Son Tay,East,District #02
1613,Bac Giang,East,District #02
1721,Cam Pha,East,District #02
1740,Bac Giang,East,District #02
1746,Uong Bi,East,District #02
1747,Lao Cai,East,District #02
1748,Nam Dinh,East,District #02
1749,Hanoi,East,District #02
1752,Bac Ninh,East,District #02
1756,Thai Nguyen,East,District #02
1757,Phu Ly,East,District #02
1772,Cam Pha,East,District #02
1775,Hanoi,East,District #02
2019,Bac Giang,East,District #02
2020,Cam Pha,East,District #02
2021,Nam Dinh,East,District #02
2025,Thai Nguyen,East,District #02
2032,Hai Phong,East,District #02
2035,Hai Phong,East,District #02
2038,Hanoi,East,District #02
2043,Uong Bi,East,District #02
2047,Viet Tri,East,District #02
2048,Uong Bi,East,District #02
2050,Hai Phong,East,District #02
2051,Bac Giang,East,District #02
2052,Lao Cai,East,District #02
2053,Bac Ninh,East,District #02
2054,Ninh Binh,East,District #02
2056,Nam Dinh,East,District #02
2059,Hai Phong,East,District #02
2061,Nam Dinh,East,District #02
2062,Thai Nguyen,East,District #02
2066,Uong Bi,East,District #02
2067,Bac Giang,East,District #02
2071,Phu Ly,East,District #02
2072,Viet Tri,East,District #02
2081,Lao Cai,East,District #02
2093,Bac Ninh,East,District #02
2184,Ninh Binh,East,District #02
2185,Bac Ninh,East,District #02
2188,Ha Long,East,District #02
2189,Ha Long,East,District #02
2190,Hai Phong,East,District #02
2301,Son Tay,East,District #02
2302,Ha Long,East,District #02
2322,Lao Cai,East,District #02
2324,Lao Cai,East,District #02
2327,Bac Giang,East,District #02
2330,Thai Nguyen,East,District #02
2331,Hanoi,East,District #02
2332,Ninh Binh,East,District #02
2333,Lao Cai,East,District #02
2338,Ninh Binh,East,District #02
2339,Thai Nguyen,East,District #02
2341,Viet Tri,East,District #02
2343,Ha Long,East,District #02
2345,Hai Phong,East,District #02
2346,Son Tay,East,District #02
2347,Son Tay,East,District #02
2351,Thai Nguyen,East,District #02
2355,Cam Pha,East,District #02
2356,Thai Nguyen,East,District #02
2358,Bac Ninh,East,District #02
2359,Uong Bi,East,District #02
2360,Son Tay,East,District #02
2362,Hanoi,East,District #02
2364,Cam Pha,East,District #02
2366,Hai Phong,East,District #02
2367,Nam Dinh,East,District #02
2368,Ninh Binh,East,District #02
2370,Bac Ninh,East,District #02
2375,Cam Pha,East,District #02
2379,Phu Ly,East,District #02
2382,Bac Giang,East,District #02
2532,Hanoi,East,District #02
2534,Bac Giang,East,District #02
2535,Nam Dinh,East,District #02
2536,Lao Cai,East,District #02
2537,Nam Dinh,East,District #02
2538,Ha Long,East,District #02
2539,Hanoi,East,District #02
2540,Hai Phong,East,District #02
2542,Nam Dinh,East,District #02
2543,Phu Ly,East,District #02
2553,Ninh Binh,East,District #02
2554,Son Tay,East,District #02
2556,Lao Cai,East,District #02
2557,Bac Giang,East,District #02
2558,Bac Ninh,East,District #02
2559,Viet Tri,East,District #02
2561,Thai Nguyen,East,District #02
2562,Uong Bi,East,District #02
2563,Son Tay,East,District #02
2564,Ha Long,East,District #02
2568,Son Tay,East,District #02
2571,Cam Pha,East,District #02
2574,Nam Dinh,East,District #02
2575,Ha Long,East,District #02
2576,Thai Nguyen,East,District #02
2584,Phu Ly,East,District #02
2601,Cam Pha,East,District #02
2630,Nam Dinh,East,District #02
2631,Cam Pha,East,District #02
2632,Ninh Binh,East,District #02
2633,Hanoi,East,District #02
2635,Son Tay,East,District #02
2638,Uong Bi,East,District #02
2639,Lao Cai,East,District #02
2641,Uong Bi,East,District #02
2642,Cam Pha,East,District #02
2643,Ha Long,East,District #02
2644,Ninh Binh,East,District #02
2645,Phu Ly,East,District #02
2648,Phu Ly,East,District #02
2649,Hai Phong,East,District #02
2650,Ha Long,East,District #02
2651,Uong Bi,East,District #02
2652,Uong Bi,East,District #02
2653,Viet Tri,East,District #02
2655,Bac Ninh,East,District #02
2657,Ninh Binh,East,District #02
2659,Bac Giang,East,District #02
2660,Ha Long,East,District #02
2662,Lao Cai,East,District #02
2664,Bac Giang,East,District #02
2666,Ha Long,East,District #02
2667,Hai Phong,East,District #02
2668,Ha Long,East,District #02
2669,Hai Phong,East,District #02
2671,Ha Long,East,District #02
2673,Nam Dinh,East,District #02
2675,Viet Tri,East,District #02
2702,Bac Giang,East,District #02
2703,Ha Long,East,District #02
2714,Ha Long,East,District #02
2715,Viet Tri,East,District #02
2717,Son Tay,East,District #02
2718,Cam Pha,East,District #02
2719,Ha Long,East,District #02
2720,Thai Nguyen,East,District #02
2721,Uong Bi,East,District #02
2722,Son Tay,East,District #02
2723,Son Tay,East,District #02
2724,Son Tay,East,District #02
2725,Ninh Binh,East,District #02
2726,Uong Bi,East,District #02
2738,Viet Tri,East,District #02
2739,Phu Ly,East,District #02
2740,Phu Ly,East,District #02
2742,Hai Phong,East,District #02
2743,Lao Cai,East,District #02
2744,Hanoi,East,District #02
2745,Bac Ninh,East,District #02
2746,Bac Giang,East,District #02
2747,Son Tay,East,District #02
2748,Hai Phong,East,District #02
2760,Bac Giang,East,District #02
2762,Hai Phong,East,District #02
2763,Nam Dinh,East,District #02
2764,Bac Ninh,East,District #02
2766,Lao Cai,East,District #02
2767,Bac Ninh,East,District #02
2768,Lao Cai,East,District #02
2769,Phu Ly,East,District #02
2770,Ninh Binh,East,District #02
2771,Ninh Binh,East,District #02
2777,Viet Tri,East,District #02
2779,Phu Ly,East,District #02
2780,Ha Long,East,District #02
2790,Hanoi,East,District #02
2802,Ha Long,East,District #02
2804,Hai Phong,East,District #02
2806,Ha Long,East,District #02
2807,Son Tay,East,District #02
2808,Uong Bi,East,District #02
2809,Thai Nguyen,East,District #02
2812,Bac Giang,East,District #02
2813,Ha Long,East,District #02
2814,Cam Pha,East,District #02
2815,Bac Ninh,East,District #02
2816,Ninh Binh,East,District #02
2817,Hanoi,East,District #02
2818,Son Tay,East,District #02
2822,Hanoi,East,District #02
2823,Bac Ninh,East,District #02
2824,Thai Nguyen,East,District #02
2825,Phu Ly,East,District #02
2826,Viet Tri,East,District #02
2827,Ha Long,East,District #02
2828,Bac Giang,East,District #02
2830,Bac Giang,East,District #02
2831,Hanoi,East,District #02
2832,Ha Long,East,District #02
2833,Cam Pha,East,District #02
2835,Nam Dinh,East,District #02
2837,Ha Long,East,District #02
2838,Phu Ly,East,District #02
2839,Ha Long,East,District #02
2840,Viet Tri,East,District #02
2841,Ninh Binh,East,District #02
2842,Bac Ninh,East,District #02
2852,Hai Phong,East,District #02
2857,Hanoi,East,District #02
2859,Hai Phong,East,District #02
2860,Lao Cai,East,District #02
2861,Son Tay,East,District #02
2863,Lao Cai,East,District #02
2864,Uong Bi,East,District #02
2865,Thai Nguyen,East,District #02
2871,Bac Giang,East,District #02
2874,Bac Giang,East,District #02
2875,Bac Ninh,East,District #02
2876,Viet Tri,East,District #02
2878,Thai Nguyen,East,District #02
2879,Nam Dinh,East,District #02
2880,Hanoi,East,District #02
2881,Hanoi,East,District #02
2882,Bac Ninh,East,District #02
2883,Son Tay,East,District #02
2885,Nam Dinh,East,District #02
2886,Uong Bi,East,District #02
2888,Thai Nguyen,East,District #02
2889,Ha Long,East,District #02
2891,Cam Pha,East,District #02
2892,Viet Tri,East,District #02
2893,Thai Nguyen,East,District #02
2894,Cam Pha,East,District #02
2895,Bac Giang,East,District #02
2896,Nam Dinh,East,District #02
2898,Viet Tri,East,District #02
2903,Bac Giang,East,District #02
2904,Bac Ninh,East,District #02
2905,Ninh Binh,East,District #02
2906,Thai Nguyen,East,District #02
2907,Son Tay,East,District #02
2908,Uong Bi,East,District #02
2909,Hai Phong,East,District #02
2910,Bac Ninh,East,District #02
2911,Lao Cai,East,District #02
2914,Viet Tri,East,District #02
2915,Phu Ly,East,District #02
2916,Viet Tri,East,District #02
2917,Hai Phong,East,District #02
2918,Bac Ninh,East,District #02
2919,Thai Nguyen,East,District #02
2920,Thai Nguyen,East,District #02
2921,Lao Cai,East,District #02
2940,Hanoi,East,District #02
3033,Cam Pha,East,District #02
3048,Son Tay,East,District #02
3071,Lao Cai,East,District #02
3084,Uong Bi,East,District #02
3280,Son Tay,East,District #02
3431,Bac Ninh,East,District #02
3441,Cam Pha,East,District #02
3443,Hanoi,East,District #02
3444,Hanoi,East,District #02
3445,Lao Cai,East,District #02
3446,Ha Long,East,District #02
3447,Thai Nguyen,East,District #02
3448,Uong Bi,East,District #02
3449,Uong Bi,East,District #02
3450,Cam Pha,East,District #02
3451,Son Tay,East,District #02
3452,Ninh Binh,East,District #02
3455,Son Tay,East,District #02
3456,Viet Tri,East,District #02
3457,Son Tay,East,District #02
3458,Uong Bi,East,District #02
3461,Cam Pha,East,District #02
3462,Ninh Binh,East,District #02
3464,Lao Cai,East,District #02
3465,Hanoi,East,District #02
3466,Lao Cai,East,District #02
3467,Viet Tri,East,District #02
3468,Lao Cai,East,District #02
3469,Phu Ly,East,District #02
3470,Lao Cai,East,District #02
3601,Nam Dinh,East,District #02
3602,Ha Long,East,District #02
3604,Ha Long,East,District #02
3605,Nam Dinh,East,District #02
3607,Ha Long,East,District #02
3608,Bac Giang,East,District #02
3609,Ha Long,East,District #02
5101,Ha Long,East,District #02
5141,Cam Pha,East,District #02
5148,Uong Bi,East,District #01
5152,Viet Tri,East,District #01
5155,Cam Pha,East,District #02
5158,Viet Tri,East,District #02
5159,Viet Tri,East,District #02
5201,Hai Phong,East,District #01
5250,Son Tay,East,District #01
5251,Hai Phong,East,District #01
5252,Viet Tri,East,District #01
5253,Ninh Binh,East,District #01
5254,Cam Pha,East,District #01
5255,Bac Giang,East,District #01
5257,Hai Phong,East,District #01
5260,Nam Dinh,East,District #01
5261,Ninh Binh,East,District #01
5262,Thai Nguyen,East,District #01
5301,Hai Phong,East,District #02
5302,Phu Ly,East,District #02
5303,Hanoi,East,District #02
5340,Hanoi,East,District #01
5341,Thai Nguyen,East,District #02
5342,Ninh Binh,East,District #02
5343,Ha Long,East,District #02
5344,Phu Ly,East,District #02
5345,Son Tay,East,District #02
5346,Son Tay,East,District #02
5350,Phu Ly,East,District #01
5352,Viet Tri,East,District #01
5353,Hai Phong,East,District #02
5354,Nam Dinh,East,District #02
5356,Ha Long,East,District #02
5358,Bac Ninh,East,District #02
5359,Phu Ly,East,District #02
5360,Uong Bi,East,District #02
5361,Hanoi,East,District #01
5362,Uong Bi,East,District #02
5363,Phu Ly,East,District #02
5440,Hanoi,East,District #01
5458,Hai Phong,East,District #01
5463,Hanoi,East,District #01
5474,Uong Bi,East,District #01
5486,Hai Phong,East,District #01
5701,Uong Bi,East,District #01
5702,Ha Long,East,District #01
5732,Phu Ly,East,District #01
5733,Bac Ninh,East,District #01
5735,Bac Giang,East,District #01
5737,Hanoi,East,District #01
5738,Cam Pha,East,District #01
5739,Hanoi,East,District #01
5742,Bac Ninh,East,District #01
5743,Hai Phong,East,District #01
5744,Cam Pha,East,District #01
5750,Phu Ly,East,District #01
5757,Ha Long,East,District #01
5759,Cam Pha,East,District #01
5760,Ninh Binh,East,District #01
5761,Nam Dinh,East,District #01
5763,Ninh Binh,East,District #01
5764,Phu Ly,East,District #01
5765,Bac Giang,East,District #01
5768,Lao Cai,East,District #01
5770,Son Tay,East,District #01
5773,Nam Dinh,East,District #01
5774,Son Tay,East,District #01
5775,Hanoi,East,District #01
5777,Hanoi,East,District #01
6001,Cam Pha,East,District #02
6002,Hai Phong,East,District #02
6006,Bac Ninh,East,District #02
6010,Nam Dinh,East,District #02
6013,Thai Nguyen,East,District #02
6016,Thai Nguyen,East,District #02
6018,Thai Nguyen,East,District #02
6019,Ha Long,East,District #02
6021,Uong Bi,East,District #02
6023,Bac Ninh,East,District #02
6024,Viet Tri,East,District #02
6025,Hai Phong,East,District #02
6026,Son Tay,East,District #02
6027,Cam Pha,East,District #02
6029,Cam Pha,East,District #02
6031,Ha Long,East,District #02
6032,Cam Pha,East,District #02
6033,Uong Bi,East,District #02
6035,Cam Pha,East,District #02
6037,Phu Ly,East,District #02
6039,Phu Ly,East,District #02
6040,Lao Cai,East,District #02
6042,Viet Tri,East,District #02
6043,Nam Dinh,East,District #02
6050,Son Tay,East,District #02
6051,Thai Nguyen,East,District #02
6052,Cam Pha,East,District #02
6053,Ninh Binh,East,District #02
6057,Hanoi,East,District #02
6058,Viet Tri,East,District #02
6060,Lao Cai,East,District #02
6061,Ha Long,East,District #02
6062,Phu Ly,East,District #02
6063,Ninh Binh,East,District #02
6065,Viet Tri,East,District #02
6066,Uong Bi,East,District #02
6067,Son Tay,East,District #02
6068,Son Tay,East,District #01
6069,Hanoi,East,District #02
6070,Son Tay,East,District #02
6071,Cam Pha,East,District #02
6072,Nam Dinh,East,District #02
6073,Bac Ninh,East,District #02
6074,Phu Ly,East,District #02
6075,Son Tay,East,District #02
6076,Thai Nguyen,East,District #02
6077,Son Tay,East,District #02
6078,Uong Bi,East,District #02
6082,Ninh Binh,East,District #02
6083,Hanoi,East,District #02
6084,Hai Phong,East,District #02
6085,Hanoi,East,District #02
6088,Hanoi,East,District #02
6089,Son Tay,East,District #02
6090,Hai Phong,East,District #02
6091,Hai Phong,East,District #02
6092,Nam Dinh,East,District #02
6093,Phu Ly,East,District #02
6094,Lao Cai,East,District #02
6095,Nam Dinh,East,District #02
6096,Cam Pha,East,District #02
6098,Phu Ly,East,District #02
6103,Ninh Binh,East,District #02
6105,Phu Ly,East,District #02
6106,Cam Pha,East,District #02
6107,Bac Ninh,East,District #02
6108,Lao Cai,East,District #02
6109,Lao Cai,East,District #02
6110,Cam Pha,East,District #02
6111,Phu Ly,East,District #02
6112,Bac Ninh,East,District #02
6114,Phu Ly,East,District #02
6117,Lao Cai,East,District #02
6118,Cam Pha,East,District #02
6119,Uong Bi,East,District #02
6120,Ha Long,East,District #02
6127,Lao Cai,East,District #02
6133,Hai Phong,East,District #02
6226,Cam Pha,East,District #02
6231,Cam Pha,East,District #02
6232,Son Tay,East,District #02
6234,Thai Nguyen,East,District #02
6235,Lao Cai,East,District #02
6237,Bac Giang,East,District #02
6238,Uong Bi,East,District #02
6239,Hai Phong,East,District #02
6241,Ha Long,East,District #02
6242,Cam Pha,East,District #02
6243,Nam Dinh,East,District #02
6247,Viet Tri,East,District #02
6248,Uong Bi,East,District #02
6249,Son Tay,East,District #02
6250,Lao Cai,East,District #02
6254,Hanoi,East,District #02
6255,Uong Bi,East,District #02
6256,Nam Dinh,East,District #02
6258,Nam Dinh,East,District #02
6259,Ha Long,East,District #02
6260,Bac Giang,East,District #02
6262,Hai Phong,East,District #02
6264,Ha Long,East,District #02
6266,Uong Bi,East,District #02
6268,Hai Phong,East,District #02
6277,Phu Ly,East,District #02
6278,Nam Dinh,East,District #02
6279,Lao Cai,East,District #02
6280,Nam Dinh,East,District #02
6281,Lao Cai,East,District #02
6282,Hai Phong,East,District #02
6320,Viet Tri,East,District #02
6330,Hanoi,East,District #02
6331,Ha Long,East,District #02
6332,Bac Ninh,East,District #02
6333,Hai Phong,East,District #02
6334,Bac Giang,East,District #02
6335,Nam Dinh,East,District #02
6338,Son Tay,East,District #02
6339,Son Tay,East,District #02
6340,Son Tay,East,District #02
6350,Bac Ninh,East,District #02
6351,Thai Nguyen,East,District #02
6353,Thai Nguyen,East,District #02
6354,Bac Ninh,East,District #02
6355,Cam Pha,East,District #02
6357,Bac Giang,East,District #02
6359,Thai Nguyen,East,District #02
6360,Son Tay,East,District #02
6365,Son Tay,East,District #02
6370,Thai Nguyen,East,District #02
6371,Nam Dinh,East,District #02
6372,Cam Pha,East,District #02
6373,Bac Ninh,East,District #02
6374,Son Tay,East,District #02
6375,Bac Giang,East,District #02
6377,Hai Phong,East,District #02
6378,Hai Phong,East,District #02
6379,Bac Ninh,East,District #02
6380,Thai Nguyen,East,District #02
6382,Ninh Binh,East,District #02
6383,Lao Cai,East,District #02
6384,Hai Phong,East,District #02
6385,Son Tay,East,District #02
6387,Uong Bi,East,District #02
6388,Thai Nguyen,East,District #02
6390,Thai Nguyen,East,District #02
6401,Bac Giang,East,District #02
6403,Ha Long,East,District #02
6405,Hanoi,East,District #02
6410,Ha Long,East,District #02
6412,Bac Ninh,East,District #02
6413,Bac Ninh,East,District #02
6414,Hai Phong,East,District #02
6415,Ninh Binh,East,District #02
6416,Lao Cai,East,District #02
6417,Phu Ly,East,District #02
6418,Cam Pha,East,District #02
6419,Son Tay,East,District #02
6420,Thai Nguyen,East,District #02
6422,Bac Ninh,East,District #02
6423,Hanoi,East,District #02
6424,Viet Tri,East,District #02
6426,Hai Phong,East,District #02
6437,Viet Tri,East,District #02
6438,Phu Ly,East,District #02
6439,Nam Dinh,East,District #02
6440,Uong Bi,East,District #02
6441,Thai Nguyen,East,District #02
6442,Bac Ninh,East,District #02
6443,Cam Pha,East,District #02
6444,Nam Dinh,East,District #02
6447,Ninh Binh,East,District #02
6450,Bac Ninh,East,District #02
6451,Bac Giang,East,District #02
6454,Ninh Binh,East,District #02
6455,Nam Dinh,East,District #02
6456,Bac Giang,East,District #02
6457,Son Tay,East,District #02
6460,Hai Phong,East,District #02
6461,Nam Dinh,East,District #02
6468,Phu Ly,East,District #02
6469,Ninh Binh,East,District #02
6470,Nam Dinh,East,District #02
6471,Ninh Binh,East,District #02
6472,Bac Ninh,East,District #02
6473,Ninh Binh,East,District #02
6475,Ha Long,East,District #02
6477,Son Tay,East,District #02
6478,Uong Bi,East,District #02
6479,Phu Ly,East,District #02
6480,Phu Ly,East,District #02
6481,Ha Long,East,District #02
6482,Phu Ly,East,District #02
6483,Ha Long,East,District #02
6484,Nam Dinh,East,District #02
6488,Ha Long,East,District #02
6489,Son Tay,East,District #02
6491,Thai Nguyen,East,District #02
6492,Bac Ninh,East,District #02
6498,Cam Pha,East,District #02
6510,Nam Dinh,East,District #02
6511,Thai Nguyen,East,District #02
6512,Hai Phong,East,District #02
6513,Nam Dinh,East,District #02
6514,Phu Ly,East,District #02
6515,Hanoi,East,District #02
6516,Ninh Binh,East,District #02
6517,Thai Nguyen,East,District #02
6518,Ninh Binh,East,District #02
6519,Nam Dinh,East,District #02
6524,Ninh Binh,East,District #02
6525,Hanoi,East,District #02
6604,Son Tay,East,District #02
6605,Son Tay,East,District #02
6606,Cam Pha,East,District #02
6607,Uong Bi,East,District #02
6608,Viet Tri,East,District #02
6610,Viet Tri,East,District #02
6611,Hanoi,East,District #02
6612,Cam Pha,East,District #02
6614,Phu Ly,East,District #02
6615,Ninh Binh,East,District #02
6702,Bac Giang,East,District #02
6704,Lao Cai,East,District #02
6705,Nam Dinh,East,District #02
6706,Thai Nguyen,East,District #02
6708,Viet Tri,East,District #02
6710,Phu Ly,East,District #02
6712,Bac Ninh,East,District #02
6716,Viet Tri,East,District #02
6720,Hanoi,East,District #02
6724,Lao Cai,East,District #02
6750,Son Tay,East,District #02
6751,Lao Cai,East,District #02
6752,Thai Nguyen,East,District #02
6754,Bac Giang,East,District #02
6755,Ninh Binh,East,District #02
6756,Ninh Binh,East,District #02
6757,Bac Giang,East,District #02
6759,Son Tay,East,District #02
6762,Bac Giang,East,District #02
6763,Bac Giang,East,District #02
6770,Viet Tri,East,District #02
6776,Son Tay,East,District #02
6777,Hai Phong,East,District #02
6778,Son Tay,East,District #02
6779,Bac Ninh,East,District #02
6782,Thai Nguyen,East,District #02
6783,Bac Giang,East,District #02
6784,Viet Tri,East,District #02
6785,Cam Pha,East,District #02
6786,Hai Phong,East,District #02
6787,Bac Giang,East,District #02
6790,Nam Dinh,East,District #02
6791,Nam Dinh,East,District #02
6793,Ninh Binh,East,District #02
6794,Ha Long,East,District #02
6795,Uong Bi,East,District #02
6796,Bac Ninh,East,District #02
6798,Thai Nguyen,East,District #02
6801,Viet Tri,East,District #02
6804,Nam Dinh,East,District #02
6807,Viet Tri,East,District #03
6810,Phu Ly,East,District #02
6811,Bac Ninh,East,District #02
6812,Hai Phong,East,District #02
6813,Ninh Binh,East,District #02
6817,Phu Ly,East,District #02
6820,Lao Cai,East,District #03
6824,Ha Long,East,District #02
6825,Thai Nguyen,East,District #02
6828,Thai Nguyen,East,District #02
6830,Hai Phong,East,District #03
6831,Ninh Binh,East,District #03
6836,Hai Phong,East,District #03
6838,Thai Nguyen,East,District #02
6840,Phu Ly,East,District #02
6850,Thai Nguyen,East,District #02
6851,Uong Bi,East,District #02
6853,Lao Cai,East,District #03
6854,Ninh Binh,East,District #03
6855,Cam Pha,East,District #02
6870,Cam Pha,East,District #03
6877,Ninh Binh,East,District #02
6878,Lao Cai,East,District #03
6880,Lao Cai,East,District #02
6883,Hai Phong,East,District #02
6890,Ninh Binh,East,District #02
6896,Lao Cai,East,District #02
6897,Son Tay,East,District #02
6901,Ha Long,East,District #03
6902,Ha Long,East,District #03
6903,Bac Ninh,East,District #03
6904,Bac Ninh,East,District #03
6905,Hanoi,East,District #03
6906,Bac Giang,East,District #03
6907,Nam Dinh,East,District #03
7001,Ninh Binh,East,District #04
7002,Viet Tri,East,District #03
7003,Lao Cai,East,District #03
7004,Lao Cai,East,District #03
7005,Uong Bi,East,District #03
7006,Bac Ninh,East,District #03
7008,Phu Ly,East,District #04
7009,Hanoi,East,District #03
7010,Bac Giang,East,District #03
7011,Cam Pha,East,District #03
7012,Ha Long,East,District #03
7013,Phu Ly,East,District #03
