date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-12-10,14413,10733,46851,0.00408,254.9,social_media
2013-12-13,13337,9763,69039,0.00439,294.0,organic_search
2013-12-18,13825,10901,72395,0.0045,154.0,organic_search
2013-12-20,10678,8634,38513,0.00405,256.3,organic_search
2013-12-21,11879,8813,56301,0.00341,119.1,email_campaign
2013-12-24,12470,9370,54463,0.00563,281.4,social_media
2013-12-25,13141,10384,67446,0.00482,193.3,social_media
2013-12-26,13040,9292,57219,0.00539,314.3,organic_search
2013-12-29,14050,11493,56883,0.00416,174.7,organic_search
2014-01-03,10230,8247,42607,0.00543,249.9,social_media
2014-01-08,11340,9281,41050,0.00362,221.5,social_media
2014-01-11,11306,9172,52326,0.0045,116.2,referral
2014-01-13,11373,8627,58511,0.00345,159.0,direct
2014-01-15,10310,7878,44709,0.00362,123.8,direct
2014-01-16,11632,8624,55483,0.00545,222.1,social_media
2014-01-17,10035,7721,34898,0.00514,163.8,organic_search
2014-01-20,10678,8033,41933,0.00414,149.6,organic_search
2014-01-25,11205,8252,55016,0.00535,291.3,organic_search
2014-02-03,15293,12184,75902,0.0052,219.2,direct
2014-02-05,14372,10247,59542,0.00551,124.6,paid_search
2014-02-09,16200,11546,85048,0.00427,141.2,paid_search
2014-02-14,14509,11532,61350,0.00389,226.3,organic_search
2014-02-20,15337,11846,72379,0.00514,287.0,referral
2014-03-03,22641,15964,108362,0.00522,271.4,organic_search
2014-03-08,20789,15662,93141,0.00366,173.0,email_campaign
2014-03-21,21123,16314,83362,0.00392,188.7,direct
2014-03-23,20889,15510,67631,0.00542,287.5,social_media
2014-03-25,20978,15803,73386,0.00516,114.2,email_campaign
2014-03-30,21014,17170,96869,0.00361,266.0,organic_search
2014-04-04,33564,27006,178036,0.00455,230.0,paid_search
2014-04-05,29571,20726,141514,0.00443,301.8,organic_search
2014-04-06,29897,24048,113402,0.00362,202.1,paid_search
2014-04-07,27724,20365,96746,0.0045,212.3,paid_search
2014-04-09,29270,21990,145987,0.00502,224.1,organic_search
2014-04-10,29376,21760,105496,0.00426,179.3,paid_search
2014-04-13,32172,24250,152724,0.00439,120.4,organic_search
2014-04-18,28486,23229,108624,0.00408,164.3,social_media
2014-04-20,30149,23019,144722,0.00383,249.2,paid_search
2014-04-23,26922,21973,128715,0.00391,154.7,email_campaign
2014-04-27,31694,22215,170628,0.00449,145.2,paid_search
2014-04-30,30939,23211,133474,0.00356,156.9,social_media
2014-05-02,31644,24370,153075,0.00327,123.1,direct
2014-05-08,22054,15883,78562,0.00578,114.3,referral
2014-05-11,29095,21081,94942,0.0055,146.2,referral
2014-05-12,28899,22803,134458,0.00446,215.8,paid_search
2014-05-21,27548,20709,139667,0.00555,246.8,organic_search
2014-05-23,28489,22749,96527,0.00514,252.9,organic_search
2014-05-25,30338,21404,120860,0.00577,167.1,email_campaign
2014-05-26,29609,23230,125918,0.00425,237.2,organic_search
2014-06-09,30401,24133,102124,0.00342,142.4,organic_search
2014-06-10,27671,21455,121832,0.00523,235.3,referral
2014-06-13,30261,22465,108371,0.00471,125.2,email_campaign
2014-06-14,29999,23096,122404,0.00557,214.3,paid_search
2014-06-20,30816,22914,118380,0.00494,299.4,social_media
2014-06-23,28623,21810,155716,0.00577,168.7,paid_search
2014-06-25,30658,24091,153275,0.00421,138.1,email_campaign
2014-06-27,31165,23193,117512,0.00372,115.8,paid_search
2014-06-28,28913,20500,128800,0.00557,254.8,referral
2014-07-03,24291,19783,87191,0.00356,299.1,paid_search
2014-07-07,23149,17267,116966,0.00331,221.1,social_media
2014-07-13,21016,15177,112942,0.0047,151.6,paid_search
2014-07-15,23206,18797,74689,0.00397,160.4,paid_search
2014-07-16,25448,19172,86877,0.00525,245.5,direct
2014-07-17,24173,17451,106949,0.00525,242.9,paid_search
2014-07-21,23563,16839,117759,0.00444,196.9,paid_search
2014-07-22,20852,16050,98954,0.00471,221.2,organic_search
2014-07-23,20563,16788,99371,0.00354,307.5,referral
2014-07-24,20142,15456,101375,0.00439,170.9,email_campaign
2014-07-25,23097,18708,79029,0.00495,205.3,social_media
2014-07-27,21988,16247,95568,0.0057,125.4,paid_search
2014-08-02,24590,19673,104410,0.00389,301.5,organic_search
2014-08-04,25170,19950,101848,0.004,107.4,paid_search
2014-08-05,25018,19903,86055,0.00353,213.4,paid_search
2014-08-07,23454,18090,102654,0.00332,110.3,email_campaign
2014-08-17,27595,19440,123897,0.00559,204.5,referral
2014-08-18,24284,18786,92056,0.00337,305.5,organic_search
2014-08-21,24400,18452,124494,0.00568,150.4,social_media
2014-08-27,24745,19165,121324,0.00429,299.7,organic_search
2014-08-30,24035,19477,110772,0.00341,115.1,paid_search
2014-09-02,17927,14108,89498,0.00343,121.2,social_media
2014-09-06,16392,12341,61013,0.00348,252.6,organic_search
2014-09-08,19692,14268,82611,0.00414,100.4,email_campaign
2014-09-10,17022,12401,68700,0.00529,102.6,paid_search
2014-09-19,17146,12184,80820,0.0058,299.5,organic_search
2014-09-23,16222,11492,84429,0.00346,233.4,social_media
2014-09-28,16535,13449,72467,0.0037,242.5,organic_search
2014-09-29,999999999,14785,75135,0.00411,136.3,referral
2014-09-30,18116,14166,65756,0.0037,240.4,social_media
2014-10-05,15183,11554,55577,0.00421,280.6,social_media
2014-10-12,13762,10895,57265,0.00372,230.1,paid_search
2014-10-13,15576,11706,80230,0.00343,158.6,direct
2014-10-16,16025,12454,81588,0.00383,272.8,social_media
2014-10-17,12793,9282,56849,0.00388,234.7,paid_search
2014-10-28,14021,10144,72386,0.00396,209.1,paid_search
2014-10-31,12268,9791,56527,0.00458,291.0,email_campaign
2014-11-03,9271,7343,50990,0.00336,281.7,organic_search
2014-11-04,12479,9521,50077,0.00322,230.8,organic_search
2014-11-07,10458,7811,57426,0.00483,207.9,social_media
2014-11-10,11746,8557,42791,0.00432,231.7,organic_search
2014-11-12,12915,9215,50492,0.00363,302.8,paid_search
2014-11-13,12214,9340,58391,0.00326,266.7,social_media
2014-11-21,14690,10969,49729,0.00563,133.5,organic_search
2014-11-22,11106,8861,43498,0.004,192.6,organic_search
2014-11-27,11438,8649,52208,0.00434,210.8,social_media
2014-11-30,12733,9914,61026,0.00361,101.6,paid_search
2014-12-04,14206,10153,52846,0.00575,255.7,organic_search
2014-12-06,12995,9605,70307,0.00507,282.3,social_media
2014-12-14,12133,9704,55972,0.00489,263.5,paid_search
2014-12-16,14337,11208,71824,0.00348,121.8,referral
2014-12-20,12762,9406,55784,0.00455,277.7,social_media
2014-12-22,13175,10041,61750,0.00521,258.2,organic_search
2014-12-25,14984,11307,62313,0.00371,220.9,organic_search
2015-01-03,11528,8833,40725,0.00383,249.4,organic_search
2015-01-06,9268,7471,38649,0.0051,318.3,email_campaign
2015-01-07,10147,7857,33888,0.00572,121.9,social_media
2015-01-09,12849,10119,58922,0.00477,190.4,referral
2015-01-10,11873,8645,64601,0.00342,134.3,organic_search
2015-01-16,11982,8884,42069,0.00554,294.7,organic_search
2015-01-17,10268,7696,50373,0.00496,208.1,organic_search
2015-01-18,10164,7618,54711,0.00522,305.3,organic_search
2015-01-21,11368,8795,37330,0.00558,135.7,paid_search
2015-01-22,12159,9424,53924,0.00383,256.3,referral
2015-01-23,13034,10656,62656,0.00508,238.1,organic_search
2015-01-24,12673,9972,52366,0.00449,176.6,organic_search
2015-01-25,10995,8907,48943,0.00551,294.0,organic_search
2015-01-26,12273,9523,52623,0.00366,301.7,referral
2015-01-31,10453,7595,51485,0.00435,123.4,email_campaign
2015-02-04,17552,12726,92236,0.00346,220.5,email_campaign
2015-02-12,16304,13006,62018,0.00398,216.9,referral
2015-02-15,17280,12439,68446,0.00426,274.5,organic_search
2015-02-17,16802,12521,74388,0.00445,139.1,paid_search
2015-02-24,17173,13667,71689,0.00513,142.9,organic_search
2015-02-27,14926,11229,53940,0.00545,166.2,social_media
2015-03-02,22178,17801,84529,0.00567,164.9,referral
2015-03-07,20579,16101,83988,0.00384,143.0,social_media
2015-03-08,23101,16215,83326,0.00425,240.2,organic_search
2015-03-09,23240,17341,117770,0.00544,181.2,referral
2015-03-20,19678,15237,70975,0.00492,309.7,social_media
2015-03-21,26207,20418,100420,0.0037,118.5,social_media
2015-03-30,21988,15721,91135,0.00386,230.9,organic_search
2015-03-31,23712,17041,118451,0.00334,235.6,organic_search
2015-04-01,29410,23296,117637,0.00531,175.1,organic_search
2015-04-02,30456,22808,137521,0.00407,167.6,paid_search
2015-04-05,34818,26213,179530,0.00351,283.5,referral
2015-04-09,33264,25339,131080,0.0033,311.8,email_campaign
2015-04-10,31701,23905,138034,0.00324,250.5,email_campaign
2015-04-11,32699,24505,156139,0.00348,235.7,social_media
2015-04-12,33695,23984,164092,0.00457,188.3,social_media
2015-04-13,32788,25880,169275,0.0042,121.1,referral
2015-04-17,34071,26707,177596,0.00406,140.7,referral
2015-04-20,33331,27313,182278,0.00567,135.3,organic_search
2015-04-23,33494,26912,158159,0.0041,203.7,organic_search
2015-04-28,31168,23641,123478,0.00521,238.8,social_media
2015-04-30,28994,22062,150712,0.00394,267.3,direct
2015-05-02,33476,26822,182726,0.0051,219.9,organic_search
2015-05-08,29160,23034,109154,0.00429,276.5,social_media
2015-05-20,30494,24191,126406,0.00357,298.0,social_media
2015-05-27,26401,20469,119105,0.00574,183.6,organic_search
2015-05-29,34451,27090,172863,0.00381,116.7,referral
2015-05-31,27874,21527,109033,0.00366,233.5,referral
2015-06-04,28794,21415,121730,0.00523,162.3,email_campaign
2015-06-07,32243,25956,145312,0.00547,256.8,social_media
2015-06-12,24605,19576,116966,0.00362,266.6,social_media
2015-06-15,32287,25912,128566,0.0041,238.4,social_media
2015-06-17,35371,28846,155050,0.00422,217.0,social_media
2015-06-25,31624,25240,150529,0.00522,175.0,referral
2015-06-26,30769,22895,140394,0.00476,263.6,organic_search
2015-06-29,34732,24375,156417,0.0044,233.6,social_media
2015-07-01,20602,16457,79358,0.00357,300.4,paid_search
2015-07-05,26737,19679,85774,0.00547,176.4,organic_search
2015-07-14,25268,19699,122868,0.00566,289.2,organic_search
2015-07-16,25987,18625,134344,0.00329,226.6,email_campaign
2015-07-18,22256,17049,73505,0.0036,257.0,social_media
2015-07-25,26582,18972,92409,0.00486,232.8,organic_search
2015-07-28,24684,17484,103037,0.00322,198.9,organic_search
2015-07-29,23935,17376,101797,0.00454,115.3,referral
2015-08-02,25347,18517,89162,0.0034,101.9,direct
2015-08-05,29226,21369,95035,0.00445,299.2,organic_search
2015-08-09,23894,18799,78998,0.00461,173.7,email_campaign
2015-08-14,27482,20412,94726,0.00378,149.4,paid_search
2015-08-22,28267,20186,105913,0.00386,291.8,paid_search
2015-08-23,26494,18687,102152,0.00358,195.3,paid_search
2015-08-25,29244,22860,123604,0.00499,274.9,paid_search
2015-08-29,28818,22955,158022,0.00377,282.4,referral
2015-09-01,17480,13262,57096,0.00368,263.9,social_media
2015-09-02,20702,16666,69558,0.00328,118.3,paid_search
2015-09-05,19156,14479,82375,0.00548,314.9,email_campaign
2015-09-08,19746,13838,93992,0.00498,132.1,organic_search
2015-09-09,18587,13758,87916,0.00414,190.1,direct
2015-09-13,20180,15018,102993,0.00522,180.8,social_media
2015-09-22,19877,16252,63995,0.00436,103.3,email_campaign
2015-09-23,17652,13079,71664,0.00387,318.0,social_media
2015-09-26,21009,17168,108813,0.00407,179.5,paid_search
2015-09-28,18337,14106,67729,0.00556,111.4,referral
2015-09-30,17523,13440,57686,0.00509,284.6,organic_search
2015-10-03,15008,11370,68639,0.00362,168.3,paid_search
2015-10-07,15755,12150,79517,0.00417,126.0,social_media
2015-10-12,13664,10610,66043,0.00366,170.8,direct
2015-10-14,16989,12008,81718,0.00565,204.6,social_media
2015-10-19,14648,10830,77608,0.00512,196.3,social_media
2015-10-24,15087,11501,52076,0.00532,204.3,direct
2015-10-25,17383,13762,79446,0.00531,198.3,paid_search
2015-11-01,12648,10110,61721,0.0043,226.0,organic_search
2015-11-06,14154,11094,47606,0.00363,271.6,paid_search
2015-11-09,14367,11128,65336,0.00464,129.1,direct
2015-11-11,13290,10715,59892,0.00372,267.8,paid_search
2015-11-12,13903,11236,61201,0.00525,265.5,email_campaign
2015-11-17,11316,8912,55403,0.0041,159.0,social_media
2015-11-20,13750,,61102,0.00364,313.1,paid_search
2015-11-21,14699,11383,52048,0.00477,114.2,email_campaign
2015-11-26,12460,9654,42889,0.00506,298.6,organic_search
2015-11-29,14441,11536,75285,0.00434,139.2,organic_search
2015-12-08,15215,11241,69929,0.00354,227.8,organic_search
2015-12-09,16326,12045,69015,0.00545,269.1,paid_search
2015-12-11,15391,11318,67959,0.00357,177.7,organic_search
2015-12-12,15008,11400,58168,0.00565,270.1,social_media
2015-12-17,15145,12005,79733,0.0047,109.1,social_media
2015-12-20,15075,12232,52971,0.00382,136.8,organic_search
2015-12-29,16001,12904,61587,0.00421,125.4,organic_search
2016-01-01,11641,8712,37634,0.00559,267.3,email_campaign
2016-01-03,13218,9831,64885,0.00565,208.5,paid_search
2016-01-07,11373,8618,59432,0.00412,312.2,social_media
2016-01-10,13236,9859,64108,0.00484,105.5,email_campaign
2016-01-15,12653,10155,55447,0.00452,290.1,unknown
2016-01-17,10008,7752,45333,0.00414,250.9,paid_search
2016-01-24,12224,8763,54172,0.00539,283.0,organic_search
2016-01-30,12513,9653,65920,0.00502,134.5,paid_search
2016-02-01,17175,13626,59868,0.00533,148.7,paid_search
2016-02-04,16103,12176,52113,0.00366,107.6,organic_search
2016-02-14,19163,14357,70990,0.0046,161.3,email_campaign
2016-02-23,19443,15525,65423,0.00337,124.0,paid_search
2016-02-24,18131,12967,69981,0.00402,126.9,email_campaign
2016-02-26,18006,13934,57841,0.00469,124.5,organic_search
2016-02-27,15907,11168,82608,0.0043,205.6,email_campaign
2016-02-29,18504,14317,93760,0.0044,292.7,social_media
2016-03-01,26992,21032,117947,0.00482,270.4,paid_search
2016-03-04,26344,19353,103165,0.00447,270.7,referral
2016-03-09,30824,25068,141783,0.00575,279.8,paid_search
2016-03-11,24168,16941,81811,0.00549,162.8,organic_search
2016-03-13,23591,18027,78079,0.00357,237.1,email_campaign
2016-03-15,26245,21094,107523,0.00418,255.1,email_campaign
2016-03-16,24017,19505,100833,0.00475,190.9,email_campaign
2016-03-20,22946,18176,88612,0.00361,118.7,referral
2016-03-22,26309,21458,121633,0.00536,192.7,direct
2016-03-24,27354,21211,133470,0.00414,228.7,referral
2016-03-25,25460,18987,117893,0.00387,194.2,social_media
2016-03-27,27557,22581,93947,0.00335,131.6,organic_search
2016-03-28,22971,18817,123376,0.00333,241.8,paid_search
2016-03-29,24782,19479,88649,0.00353,275.0,paid_search
2016-04-01,35280,26110,148298,0.00392,268.9,organic_search
2016-04-03,39853,32209,171112,0.00504,189.2,paid_search
2016-04-04,31700,22496,119980,0.00468,141.6,organic_search
2016-04-05,33961,24714,144993,0.00473,148.9,referral
2016-04-06,34563,26040,176971,0.00379,288.0,social_media
2016-04-12,37526,28901,149781,0.00539,157.9,organic_search
2016-04-21,33532,25443,151168,0.00393,107.6,referral
2016-04-23,28997,21502,106569,0.00511,264.2,email_campaign
2016-04-24,34414,25043,161566,0.00572,105.1,organic_search
2016-04-25,31532,22488,150805,0.00569,268.7,organic_search
2016-04-27,33081,25297,181029,0.00524,196.6,paid_search
2016-04-28,34354,25822,179278,0.00337,246.1,organic_search
2016-05-01,34863,28526,139903,0.00563,161.1,paid_search
2016-05-06,27614,21353,147246,0.00508,190.0,email_campaign
2016-05-09,28369,21061,128664,0.00412,235.2,organic_search
2016-05-11,29147,20594,106696,0.00349,101.1,email_campaign
2016-05-12,32448,26326,125722,0.00432,316.3,email_campaign
2016-05-16,30307,23701,132156,0.00545,292.6,organic_search
2016-05-21,32181,24897,123544,0.00438,130.4,organic_search
2016-05-22,27855,21321,133211,0.00549,186.6,email_campaign
2016-06-01,30361,23705,131150,0.00322,112.3,social_media
2016-06-04,33568,26608,156310,0.00327,281.6,organic_search
2016-06-08,36825,28833,126407,0.00529,157.7,social_media
2016-06-10,30303,21771,102242,0.00391,140.7,email_campaign
2016-06-12,28697,20793,103189,0.00353,121.1,organic_search
2016-06-13,34063,26928,163122,0.00465,272.3,paid_search
2016-06-18,34886,27062,161199,0.00367,265.2,paid_search
2016-06-19,38767,27509,168541,0.00456,315.5,social_media
2016-06-22,27007,19832,96954,0.00517,280.0,social_media
2016-06-24,38202,29924,190436,0.00485,282.1,social_media
2016-06-25,36799,28971,181381,0.00391,178.7,paid_search
2016-06-30,33061,25436,157305,0.00484,275.1,email_campaign
2016-07-01,27643,19559,99053,0.00395,318.0,social_media
2016-07-10,26627,18741,121806,0.00495,142.3,organic_search
2016-07-11,23750,17184,100402,0.00353,309.5,email_campaign
2016-07-21,26495,20970,114364,0.00387,119.0,social_media
2016-08-02,29110,20880,147042,0.00375,101.8,referral
2016-08-10,33121,27111,133606,0.00492,132.5,referral
2016-08-14,27633,20341,90982,0.00509,156.4,social_media
2016-08-15,31092,23420,110105,0.00515,121.7,organic_search
2016-08-17,,22260,132681,0.00347,314.6,organic_search
2016-08-19,28446,20582,92462,0.00492,218.6,paid_search
2016-08-23,29012,22783,134510,0.00344,298.5,paid_search
2016-08-25,30846,23195,102990,0.00573,296.6,social_media
2016-08-29,27102,21683,109621,0.004,157.4,social_media
2016-09-01,21640,17149,109678,0.00364,204.0,social_media
2016-09-06,17889,12808,78449,0.0039,105.0,organic_search
2016-09-07,23068,16975,76283,0.00485,249.0,social_media
2016-09-08,21760,16332,101591,0.00347,108.0,referral
2016-09-11,20958,16065,108501,0.00368,228.5,organic_search
2016-09-15,21936,17311,112756,0.00552,224.3,referral
2016-09-19,19562,15211,102109,0.00418,146.7,paid_search
2016-09-28,20824,15238,110681,0.00544,163.1,organic_search
2016-10-03,16160,13151,84680,0.00368,255.4,organic_search
2016-10-04,18099,14630,86359,0.00427,270.3,paid_search
2016-10-07,18947,14466,88287,0.00375,130.4,social_media
2016-10-09,13627,9848,63580,0.00504,239.5,paid_search
2016-10-10,17553,12553,69444,0.00421,191.3,social_media
2016-10-11,15134,11420,51660,0.00351,194.3,paid_search
2016-10-12,16384,12184,80295,0.00377,315.8,email_campaign
2016-10-16,16728,12769,77896,0.00462,289.6,email_campaign
2016-10-21,18497,13104,61071,0.00398,135.0,email_campaign
2016-10-22,17596,14020,78544,0.00424,190.1,referral
2016-10-24,16565,12863,81578,0.00426,263.5,referral
2016-10-27,16121,11701,83758,0.00442,220.9,organic_search
2016-10-28,16013,12025,51729,0.00362,191.4,organic_search
2016-10-31,14528,11617,48878,0.00447,200.6,organic_search
2016-11-04,15480,12205,65097,0.00336,152.5,paid_search
2016-11-06,14121,11290,69354,0.00322,101.3,social_media
2016-11-07,14412,10835,58813,0.00325,225.5,direct
2016-11-08,15021,10948,56211,0.00332,142.2,paid_search
2016-11-11,14481,10750,60880,0.00334,318.5,paid_search
2016-11-15,16722,13433,76078,0.00413,178.0,paid_search
2016-11-21,16673,12248,63606,0.00532,175.6,referral
2016-11-27,13309,9682,72788,0.0042,174.3,paid_search
2016-11-28,12901,10483,54139,0.00383,306.6,email_campaign
2016-11-30,14123,10842,56376,0.00495,289.5,organic_search
2016-12-03,16495,12690,63476,0.00478,257.6,organic_search
2016-12-06,16069,11394,53670,0.00344,198.8,email_campaign
2016-12-18,15169,11685,62649,0.00373,222.6,paid_search
2016-12-19,18344,13487,67232,0.00352,236.3,organic_search
2016-12-24,13567,10748,66087,0.0049,307.2,organic_search
2016-12-29,15158,11598,76740,0.00376,108.0,social_media
2017-01-03,11507,8946,55783,0.00542,226.0,organic_search
2017-01-04,10925,8136,50441,0.00384,228.1,email_campaign
2017-01-05,12054,9143,55335,0.00487,158.4,email_campaign
2017-01-09,11802,8776,58449,0.00466,197.2,organic_search
2017-01-11,13414,9660,52857,0.00537,297.6,email_campaign
2017-01-12,12525,9985,45854,0.00521,287.0,email_campaign
2017-01-15,12653,9484,44274,0.00529,311.3,social_media
2017-01-29,13325,10241,65733,0.0034,296.0,referral
2017-02-05,19918,14950,64989,0.00524,157.2,referral
2017-02-08,18913,13297,101831,0.00382,123.6,organic_search
2017-02-17,19370,14607,104239,0.00552,210.6,paid_search
2017-02-18,16868,13003,64837,0.00401,275.6,organic_search
2017-02-23,19901,15174,92090,0.00563,109.5,paid_search
2017-02-26,19969,14510,94524,0.0044,220.0,social_media
2017-03-10,25479,20206,107208,0.00343,121.4,paid_search
2017-03-16,23997,18520,93928,0.00322,291.2,social_media
2017-03-19,30770,24465,120261,0.00578,293.9,organic_search
2017-03-24,29258,21262,108868,0.00379,185.0,direct
2017-03-27,28655,22329,106341,0.00349,146.1,referral
2017-03-28,27352,19599,104654,0.00538,216.2,email_campaign
2017-04-01,38431,28563,187339,0.00481,266.5,paid_search
2017-04-04,33989,27225,155858,0.0039,175.9,paid_search
2017-04-09,34091,24873,185984,0.00379,247.1,social_media
2017-04-10,33877,24739,131585,0.0058,202.9,email_campaign
2017-04-17,28523,22616,137529,0.00333,239.8,organic_search
2017-04-18,32079,24550,106023,0.00323,112.9,organic_search
2017-04-23,34949,27137,154407,0.0035,185.7,organic_search
2017-04-24,39024,29763,128812,0.00528,122.4,social_media
2017-04-26,37962,27673,208232,0.00388,280.4,referral
2017-04-29,34984,26887,117941,0.00339,313.7,social_media
2017-04-30,33629,23674,152003,0.0039,113.5,email_campaign
2017-05-05,34742,26251,146458,0.00377,254.8,social_media
2017-05-15,30119,22719,105449,0.00395,104.1,email_campaign
2017-05-22,30096,23024,119937,0.00501,254.2,social_media
2017-05-31,33594,25749,174323,0.00519,102.6,social_media
2017-06-02,34130,26604,146895,0.00339,212.5,social_media
2017-06-04,35649,26916,179071,0.00382,260.0,paid_search
2017-06-10,33686,24717,143139,0.0038,305.6,organic_search
2017-06-11,35853,25199,143300,0.00399,180.7,email_campaign
2017-06-18,32370,23780,143718,0.00394,253.9,paid_search
2017-06-21,35493,27221,143116,0.00353,204.6,paid_search
2017-06-23,33715,24358,120962,0.00321,102.8,referral
2017-06-25,36412,28892,119913,0.00551,317.2,paid_search
2017-06-27,35040,27683,132527,0.00577,233.5,social_media
2017-06-29,37150,27468,120218,0.00421,124.4,organic_search
2017-07-06,25118,18918,82615,0.0057,312.3,organic_search
2017-07-11,26995,20036,108610,0.00546,260.5,email_campaign
2017-07-13,27766,21735,135675,0.00339,100.2,direct
2017-07-15,28075,20085,111258,0.00333,234.6,paid_search
2017-07-17,25338,19798,118388,0.00494,118.4,social_media
2017-07-19,29232,23099,131517,0.00432,309.9,email_campaign
2017-07-23,25790,18090,117908,0.00561,213.1,email_campaign
2017-07-25,30138,21262,110196,0.00477,280.9,social_media
2017-07-26,29732,22503,146625,0.00403,289.5,direct
2017-07-29,,18977,137669,0.00502,108.7,paid_search
2017-08-08,30612,21678,109280,0.00374,309.4,organic_search
